model,accuracy,precision,recall,f1,auc_roc
Model A - Logistic Regression,0.9581437323639321,0.9579257738492684,0.9581437323639321,0.9580256927216964,0.9783476561417959
Model B - Deep Learning MLP,0.9831075069273203,0.983027949004455,0.9831075069273203,0.9829194402839867,0.9940418728331861
Model C - Random Forest,0.9954241553753463,0.9954386684052742,0.9954241553753463,0.9954296039916695,0.9999117181456101
